Day,Mauna Kea,Kitt Peak,Calar Alto,Las Campanas,Sutherland,Siding Spring
1,0.64,0.6338266,0.467455621301775,0.945570570570571,0.537837837837838,0.65
2,0.64,0.6338266,0.467455621301775,0.945570570570571,0.537837837837838,0.65
3,0.64,0.6338266,0.467455621301775,0.945570570570571,0.537837837837838,0.65
4,0.64,0.6338266,0.467455621301775,0.945570570570571,0.537837837837838,0.65
5,0.64,0.6338266,0.467455621301775,0.945570570570571,0.537837837837838,0.65
6,0.64,0.6338266,0.467455621301775,0.945570570570571,0.537837837837838,0.65
7,0.64,0.6338266,0.467455621301775,0.945570570570571,0.537837837837838,0.65
8,0.64,0.6338266,0.467455621301775,0.945570570570571,0.537837837837838,0.65
9,0.64,0.6338266,0.467455621301775,0.945570570570571,0.537837837837838,0.65
10,0.64,0.6338266,0.467455621301775,0.945570570570571,0.537837837837838,0.65
11,0.64,0.6338266,0.467455621301775,0.945570570570571,0.537837837837838,0.65
12,0.64,0.6338266,0.467455621301775,0.945570570570571,0.537837837837838,0.65
13,0.64,0.6338266,0.467455621301775,0.945570570570571,0.537837837837838,0.65
14,0.64,0.6338266,0.467455621301775,0.945570570570571,0.537837837837838,0.65
15,0.64,0.6338266,0.467455621301775,0.945570570570571,0.537837837837838,0.65
16,0.64,0.6338266,0.467455621301775,0.945570570570571,0.537837837837838,0.65
17,0.64,0.6338266,0.467455621301775,0.945570570570571,0.537837837837838,0.65
18,0.64,0.6338266,0.467455621301775,0.945570570570571,0.537837837837838,0.65
19,0.64,0.6338266,0.467455621301775,0.945570570570571,0.537837837837838,0.65
20,0.64,0.6338266,0.467455621301775,0.945570570570571,0.537837837837838,0.65
21,0.64,0.6338266,0.467455621301775,0.945570570570571,0.537837837837838,0.65
22,0.64,0.6338266,0.467455621301775,0.945570570570571,0.537837837837838,0.65
23,0.64,0.6338266,0.467455621301775,0.945570570570571,0.537837837837838,0.65
24,0.64,0.6338266,0.467455621301775,0.945570570570571,0.537837837837838,0.65
25,0.64,0.6338266,0.467455621301775,0.945570570570571,0.537837837837838,0.65
26,0.64,0.6338266,0.467455621301775,0.945570570570571,0.537837837837838,0.65
27,0.64,0.6338266,0.467455621301775,0.945570570570571,0.537837837837838,0.65
28,0.64,0.6338266,0.467455621301775,0.945570570570571,0.537837837837838,0.65
29,0.64,0.6338266,0.467455621301775,0.945570570570571,0.537837837837838,0.65
30,0.64,0.6338266,0.467455621301775,0.945570570570571,0.537837837837838,0.65
31,0.64,0.6338266,0.467455621301775,0.945570570570571,0.537837837837838,0.65
