Month,YYYYMM,WeekdayBoardings,SundayBoardings,SaturdayBoardings,TotalBoardings,WeekdayPaid,SundayPaid,SaturdayPaid,TotalPaid
1,201807,8427648,969355,875437,10272440,6495979,574103,719250,7791461
2,201808,9459968,658956,910575,11029500,7364434,466541,646208,8480117
3,201809,8244255,949671,1103381,10297306,6308727,659339,784504,7757212
4,201810,9559452,608743,1063253,11231448,7331776,431340,774452,8559698
5,201811,7897951,710771,1027057,9635778,6155065,506293,733498,7408909
6,201812,7581398,936144,957239,9474781,5682648,576445,704071,6964731
7,201901,7741645,659320,871232,9272198,5807261,415664,612505,6840737
8,201902,7382410,568728,967446,8918584,5542918,402716,694897,6648462
9,201903,8310529,737810,1033114,10081453,6460706,517055,719758,7699638
10,201904,8734199,623053,875942,10233194,6755575,438755,623547,7819597
11,201905,9251368,754133,875070,10880572,6865475,521525,601822,7990055
12,201906,7847900,802638,1126664,9777201,5900009,540209,757965,7233001
13,201907,8791222,655604,1055531,10502357,6389436,422362,674598,7487135
14,201908,8732738,675846,1145641,10554225,6383940,440241,738985,7564278
15,201909,8805808,1027541,924115,10757465,6307791,659830,594341,7563307
16,201910,9166423,625902,1049308,10841633,6755990,383594,742531,7893505
17,201911,7285884,773704,1180251,9239838,5355573,465288,834490,6668059
18,201912,8208716,862026,929870,10000611,5316658,506801,514835,6353255
19,202001,8397429,1498279,,9895707,5763180,454347,,6819573
20,202002,7296352,1514689,,8811041,5289184,389148,,6462776
21,202003,3809943,2923846,,6733789,3193479,277205,,3742728
22,202004,,2086822,,2086822,,226,,4105
23,202005,,1292064,,1292064,,559,,3097
24,202006,1841169,1037107,19060,2897335,4447,197,19,5021
25,202007,2834208,188309,271053,3293570,6247,282,314,6848
26,202008,2777046,239266,293830,3310143,4660,320,456,5938
27,202009,3693767,469047,478171,4640985,12035,3192,2735,17963
28,202010,3942876,364755,763605,5071235,5588,309,602,6507
29,202011,3448236,544961,623701,4616898,3598,402,468,4470
30,202012,3658259,431373,466256,4555888,9312,315,463,10091
31,202101,2655417,444194,700841,3800451,1297533,145246,273594,1716916
32,202102,2769304,284577,506174,3560055,1289016,107626,222300,1619532
33,202103,3619750,323912,459618,4403280,1758181,144098,210101,2170065
34,202104,3646702,355833,477023,4479559,1873322,159671,220641,2254187
35,202105,3505915,582840,620591,4709346,1778943,261011,286042,2326572
36,202106,4329588,424875,695695,5450159,1945013,181390,328818,2465823
37,202107,4401446,569561,724398,5695405,1951603,223133,310096,2485188
38,202108,4764743,570466,597329,5932538,2165864,239289,255914,2661528
39,202109,5459457,636767,651578,6747802,2446654,261356,277049,2986602
40,202110,5474026,663231,1013929,7151186,2436890,270526,431060,3138964
41,202111,5266696,594015,835034,6695745,2303866,235717,345878,2885940
42,202112,5268943,797825,593485,6660253,2183697,296712,224354,2705318
43,202201,3388702,518179,727395,4634276,1331753,170587,248474,1754583
44,202202,4167946,514190,740732,5422868,1777444,171213,295257,2246786
45,202203,6068052,506808,595121,7169981,2479716,188727,230414,2898971
46,202204,5830876,567436,913202,7311514,2289738,204605,341776,2836653
47,202205,6299254,870881,720043,7890178,2291144,284277,239351,2815372
48,202206,6377545,668163,1004691,8050399,2251168,206154,328962,2787610
49,202207,5876000,950782,956613,7783396,2037724,308184,318325,2665012
50,202208,6873829,656303,833761,8363893,2432362,210703,277301,2920860
51,202209,7145223,819208,847680,8812111,2514897,263462,278476,3057602
52,202210,6670133,808045,1256006,8734183,2485924,268690,435765,3192964
53,202211,6390108,712677,1013861,8116646,2500556,249735,384499,3136824
54,202212,5889293,695827,880794,7465914,2277230,227465,295714,2800517
55,202301,5922355,849593,875701,7647650,2299492,286604,323280,2910648
56,202302,6247315,614266,940900,7802480,2121189,195286,306323,2623735
57,202303,7685402,665575,790803,9141780,2606582,211415,253733,3174465
58,202304,6839020,858805,1062106,8759931,2252681,267559,333315,2853700
59,202305,7822839,865047,860593,9548479,2515347,256647,269691,3041854
60,202306,7291000,763433,1158752,9213184,2222622,209917,331177,2765350
61,202307,6787475,1123177,1134384,9045036,1961286,275791,311709,2549967
62,202308,7857017,771342,943485,9571844,2083944,174277,226771,2485850
63,202309,7724882,949046,1118824,9792751,2353259,250560,313490,2918616
64,202310,8188299,971445,1158449,10318192,2496190,267785,329795,3094784
65,202311,7282243,862790,1134398,9279431,2255253,228168,322369,2806983
66,202312,6906774,970710,1133149,9010634,1956176,236369,303035,2496372
67,202401,7288080,822482,978981,9089544,1890966,191893,228243,2311542
68,202402,7889674,759256,923386,9572316,2147321,196465,314020,2658753
69,202403,7774788,947482,1127277,9849547,2332590,268840,304758,2906295
