Route,WeekdayBoardings,SundayBoardings,SaturdayBoardings,TotalBoardings,WeekdayPaid,SundayPaid,SaturdayPaid,TotalPaid,Location
C53,258777,31072,54010,343858,42209,6124,12673,61006,DC
D40,213922,27921,43979,285822,43236,4706,8252,56194,DC
D80,191745,30158,53293,275196,96107,15453,27291,138851,DC
D20,183995,27004,41774,252773,26316,3086,5334,34736,DC
C21,170445,20784,32642,223871,14520,1065,3902,19487,DC
C31,170947,19484,30727,221158,13952,1075,1955,16982,DC
D50,146176,18558,34404,199139,56205,6561,11446,74212,DC
D5X,153003,12422,22103,187529,47743,4272,8198,60213,DC
M60,128003,17998,29972,175973,23626,3056,5407,32089,MoCo
D4X,129399,15870,26292,171561,27867,3468,6564,37899,DC
F20,119449,18099,30220,167768,77629,10105,17283,105017,Fairfax
M12,125550,15752,25483,166786,25991,2353,4572,32916,MoCo
P30,121420,16443,26628,164491,17470,2327,3811,23608,Prince George
D6X,110369,12016,20613,142998,47433,6074,10921,64428,DC
P40,111081,11673,20013,142767,16565,1616,2947,21128,Prince George
C41,109479,12527,18693,140699,16039,1660,2206,19905,DC
D60,108032,10369,19681,138083,51874,4185,8983,65042,DC
C11,104574,13467,19696,137737,11997,1108,1725,14830,DC
D74,103312,9474,17560,130346,34749,3127,7482,45358,DC
C61,96466,11525,19569,127559,29726,4168,6684,40578,DC
D10,98239,11613,17459,127311,15819,2003,3132,20954,DC
C13,97778,11259,15989,125026,6892,651,995,8538,DC
A40,88275,11397,20372,120044,58834,6677,12529,78040,Arlington/Alexandria
M70,88226,9816,17147,115189,29656,2736,4797,37189,MoCo
M20,91403,8257,14496,114156,21486,1547,2939,25972,MoCo
C15,85129,8824,12716,106669,7398,678,1175,9251,DC
C51,77848,9753,18424,106026,20179,3605,6029,29813,DC
P60,79577,10320,15953,105851,9496,904,1522,11922,Prince George
A58,66308,10935,18662,95905,40376,5853,11446,57675,Arlington/Alexandria
D72,71255,5411,10740,87405,42035,3131,6452,51618,DC
M22,57650,10501,18517,86668,15237,2178,4023,21438,MoCo
C37,67502,7045,10857,85404,5954,333,584,6871,DC
D30,64652,7534,12392,84578,17703,1880,3168,22751,DC
P16,67874,5772,9203,82848,14813,1271,1940,18024,Prince George
D70,59842,7265,12935,80042,33314,4161,6724,44199,DC
C17,66524,5442,7996,79962,5123,346,820,6289,DC
P94,55076,8043,12596,75716,5338,770,1099,7207,Prince George
D2X,75694,,,75694,8709,,,8990,DC
D44,57164,5174,9228,71566,19499,1854,3586,24939,DC
C81,55002,5368,9763,70132,19659,1820,3521,25000,DC
D36,52999,6176,10446,69621,13171,1439,2323,16933,DC
M44,55638,4172,6916,66726,8748,798,1330,10876,MoCo
M42,49938,3828,6374,60140,10442,500,1301,12243,MoCo
C27,50819,3491,5100,59410,3723,157,281,4161,DC
D96,46354,3883,7359,57596,22998,2290,4360,29648,DC
P90,42591,5377,8218,56186,8765,871,1757,11393,Prince George
D32,43774,4238,7637,55649,12871,1227,2358,16456,DC
A70,40324,5539,9191,55054,29088,3733,5498,38319,Arlington/Alexandria
M52,42218,4397,7905,54520,7201,456,1265,8922,MoCo
C29,42069,4189,5744,52003,2548,232,458,3238,DC
D34,41266,3606,6347,51219,13176,1061,2337,16574,DC
A27,41790,3362,5834,50985,22419,1997,2769,27185,Arlington/Alexandria
F44,35748,5236,9475,50458,16982,2519,3191,22692,Fairfax
P93,38012,4931,7469,50412,3958,692,681,5331,Prince George
C75,42290,2611,4633,49534,9752,839,1382,11973,DC
D24,40104,3520,5566,49190,12289,834,1573,14696,DC
P20,37640,4467,6759,48867,5342,524,835,6701,Prince George
F1X,35204,4936,8533,48674,16508,2052,3816,22376,Fairfax
C71,38474,3928,6191,48593,8298,846,1778,10922,DC
D94,40452,2657,5091,48200,18662,1396,2508,22566,DC
P32,40758,2188,4714,47660,6272,298,652,7222,Prince George
P42,36140,3462,6767,46368,6192,481,931,7604,Prince George
C23,35284,4197,6142,45623,3692,266,582,4540,DC
M54,33729,4214,7015,44958,6658,869,919,8446,MoCo
D1X,32193,3306,6109,41608,5729,764,1159,7652,DC
P41,30791,4101,6675,41567,4462,511,960,5933,Prince George
P61,31758,3588,6073,41420,4178,349,657,5184,Prince George
C35,31595,2610,4043,38248,3510,381,557,4448,DC
P33,31624,2426,4163,38213,8390,515,864,9769,Prince George
A12,27489,3882,6406,37778,16830,3012,3746,23588,Arlington/Alexandria
P62,29234,2880,4140,36254,4519,328,463,5310,Prince George
P66,27895,3213,4265,35372,2837,382,450,3669,Prince George
C55,28056,2838,4218,35112,6727,596,1204,8527,DC
P1X,24968,3480,6456,34904,6781,887,1326,8994,Prince George
D90,28297,2178,3744,34219,21009,1315,2801,25125,DC
C91,23415,3255,5373,32042,10217,1531,2625,14373,DC
A11,24035,1767,5228,31029,16201,1397,3992,21590,Arlington/Alexandria
A1X,24977,1971,3585,30533,14391,1210,2006,17607,Arlington/Alexandria
F62,23781,2329,4143,30254,14252,1395,2584,18231,Fairfax
P10,22376,2729,5090,30195,6297,577,1365,8239,Prince George
P31,21943,3013,5223,30179,4099,555,674,5328,Prince George
F60,21665,3190,5197,30052,14913,1971,3253,20137,Fairfax
F61,21462,3045,4870,29377,14814,1547,2974,19335,Fairfax
P14,22537,1635,4874,29047,4879,344,875,6098,Prince George
F50,22782,1848,3698,28327,16934,1238,2716,20888,Fairfax
P21,24378,1555,2056,27989,4043,231,411,4685,Prince George
D82,27908,,,27908,13292,,,13309,DC
C25,21250,2144,3067,26461,1053,62,272,1387,DC
P96,19209,2533,4432,26175,2581,340,560,3481,Prince George
C26,21165,2009,2881,26055,1120,123,85,1328,DC
F24,17376,2645,4745,24765,10443,1586,2771,14800,Fairfax
A90,24097,,,24097,10202,,,10202,Arlington/Alexandria
C63,18731,1823,3040,23593,4611,409,549,5569,DC
F23,16739,2166,3804,22709,11517,1347,2263,15127,Fairfax
P87,18028,1483,2609,22119,2626,120,263,3009,Prince George
P24,17642,815,2666,21123,1984,84,291,2359,Prince George
P63,17220,1529,2290,21039,2172,161,336,2669,Prince George
M82,15466,1758,2687,19911,4890,531,669,6090,MoCo
A76,15762,951,3171,19885,12404,939,2447,15790,Arlington/Alexandria
P35,19801,,,19801,3916,,,3916,Prince George
P12,13545,1458,2404,17407,3901,172,409,4482,Prince George
C33,13119,1200,1911,16230,1706,90,187,1983,DC
P72,12013,1219,1809,15041,2071,136,213,2420,Prince George
A71,12407,804,1388,14599,7197,686,1301,9184,Arlington/Alexandria
C43,11500,866,1406,13772,3079,133,175,3387,DC
A66,10509,815,2352,13676,7137,923,3134,11194,Arlington/Alexandria
P15,13448,,,13448,6614,,,6621,Prince George
P97,13440,,,13440,3738,,,3794,Prince George
C85,13117,,,13117,3840,,,3840,DC
M6X,12749,,,12749,3795,,,3944,MoCo
F26,9959,1025,1516,12500,6321,569,899,7789,Fairfax
F81,11519,,,11519,11205,,,11205,Fairfax
A49,11398,,,11398,6434,,,6472,Arlington/Alexandria
C57,11178,,,11178,1618,,,1618,DC
C87,10488,,,10488,1949,,,1949,DC
