#Distpc,HIP#,HD#,Vmag,B-V,eB-V,plx,eplx,Ref_plx,Mv,category,SpT,Ref_SpT,BCv,Mbol,logL,target lists,Habex#,HIP#,L-A,L-B,Hab,SR1,SR3,#lists,logR'HK,RefR'HK,vsini,RefVsini,Msun,SpT,HIP#,Teff,HD#,notes,Teff,eTeff,ref_Teff,BCv,log(g),elog(g),ref_logg,[Fe/H],e[Fe/H],ref_FeH,Rsun,Solar Twin?,"sigRV(AF,vsini)",N(<6500K),N(vsini),N(F7-K9),"N(Teff,vsini)",#lists,Sample,HIP#,HD#,NEID,HIP,solRad,_RAJ2000,_DEJ2000
2.637,HIP 32349,HD_48915,-1.44,0.009,0.007,379.21,1.58,HIP2,1.45,hot,A0mA1Va,2003AJ....126.2048G,-0.21,1.24,1.398,SR1,,HIP 32349,0,0,0,1,0,1,,,15.8,Glebocki05,2.30,A0mA1Va,HIP 32349,0,HD_48915,hot,9880,200,2001ApJ...548..953Q,,4.40,0.20,2001ApJ...548..953Q,0.50,0.11,2001ApJ...548..953Q,1.707,0,#DIV/0!,0,0,0,0,1,NO,HIP 32349,HD_48915,0,HIP 32349,,,_
7.679,HIP 91262,HD_172167,0.03,-0.001,0.005,130.23,0.36,HIP2,0.60,hot,A0Va,1978rmsa.book.....M,-0.21,0.39,1.739,SR1,,HIP 91262,0,0,0,1,0,1,-4.793,BoroSaikia18,22.8,Glebocki05,2.30,A0Va,HIP 91262,0,HD_172167,hot,9550,125,2014A&A...562A..84R,,4.05,0.20,2014A&A...562A..84R,-0.41,0.10,2014A&A...562A..84R,2.704,0,#DIV/0!,0,0,0,0,1,NO,HIP 91262,HD_172167,0,HIP 91262,,,_
1.338,HIP 71683,HD_128620,-0.01,0.710,0.040,747.17,0.61,Kervella16,4.36,Sun-like,G2V,2006AJ....132..161G,-0.085,4.27,0.187,L-B,,HIP 71683,0,1,0,0,0,1,-5.002,Henry96,3.2,Glebocki05,1.02,G2V,HIP 71683,0,HD_128620,quiet,5840,69,2014A&A...564A.133J,,4.31,0.02,2014A&A...564A.133J,0.26,0.01,2014A&A...564A.133J,1.212,0,0.00,1,2,1,4,1,WANT,HIP 71683,HD_128620,0,HIP 71683,1.17039895,219.90207,-60.833973
3.497,HIP 37279,HD_61421,0.40,0.432,0.015,285.93,0.88,HIP1,2.68,hot,F5IV-V,1978rmsa.book.....M,-0.02,2.66,0.831,"Hab,SR1",6,HIP 37279,0,0,2,1,0,3,-4.777,Baliunas96,4.7,Glebocki05,1.33,F5IV-V,HIP 37279,1,HD_61421,hot,6545,84,2014A&A...564A.133J,,3.99,0.02,2014A&A...564A.133J,0.01,0.01,2014A&A...564A.133J,2.026,0,#DIV/0!,0,2,0,2,3,NO,HIP 37279,HD_61421,0,HIP 37279,1.93178877,114.82549,5.224993
5.130,HIP 97649,HD_187642,0.76,0.221,0.010,194.95,0.57,HIP2,2.21,hot,A7Vn,2003AJ....126.2048G,0.025,2.23,1.002,"Hab,SR1",13,HIP 97649,0,0,2,1,0,3,-3.973,BoroSaikia18,211.0,Glebocki05,1.76,A7Vn,HIP 97649,0,HD_187642,hot,7727,71,2012A&A...537A.120Z,,4.23,0.09,2004A&A...420..183A,-0.24,NA,2003A&A...398.1121E,1.769,0,#DIV/0!,0,0,0,0,3,NO,HIP 97649,HD_187642,0,HIP 97649,,,_
10.358,HIP 37826,HD_62509,1.16,0.991,0.005,96.54,0.27,HIP2,1.08,Sun-like,K0IIIb,1989ApJS...71..245K,-0.19,0.89,1.539,SR3,,HIP 37826,0,0,0,0,1,1,-5.210,Duncan91,1.6,Glebocki05,2.03,K0IIIb,HIP 37826,0,HD_62509,quiet,4858,60,2014A&A...564A.133J,,2.88,0.05,2014A&A...564A.133J,0.13,0.01,2014A&A...564A.133J,8.299,0,0.00,1,2,1,4,1,WANT,HIP 37826,HD_62509,0,HIP 37826,6.01220467,116.32896,28.0262
7.704,HIP 113368,HD_216956,1.17,0.145,0.011,129.81,0.47,HIP2,1.74,hot,A3V,1973ARA&A..11...29M,-0.04,1.70,1.217,"Hab,SR1",27,HIP 113368,0,0,2,1,0,3,,,85.1,Glebocki05,2.00,A3V,HIP 113368,0,HD_216956,hot,8610,80,2012A&A...537A.120Z,,4.22,NA,2003A&A...398.1121E,0.43,NA,2003A&A...398.1121E,1.825,0,#DIV/0!,0,0,0,0,3,NO,HIP 113368,HD_216956,0,HIP 113368,,,_
11.000,HIP 57632,HD_102647,2.14,0.090,0.012,90.91,0.52,HIP2,1.93,hot,A3Va,1989ApJS...70..623G,-0.04,1.89,1.141,Hab,51,HIP 57632,0,0,1,0,0,1,,,118.0,Glebocki05,1.83,A3Va,HIP 57632,,HD_102647,,8531,59,2012A&A...537A.120Z,,4.26,NA,2003A&A...398.1121E,0.07,NA,2003A&A...398.1121E,1.702,0,0.00,0,0,0,0,1,NO,HIP 57632,HD_102647,0,HIP 57632,,,_
11.342,HIP 67927,HD_121370,2.68,0.580,0.000,88.17,0.75,HIP1,2.41,Sun-like,G0IV,1989ApJS...71..245K,-0.065,2.34,0.959,"L-A,L-B,Hab",61,HIP 67927,1,1,1,0,0,3,-5.250,Hall07,11.7,Glebocki05,1.08,G0IV,HIP 67927,0,HD_121370,high vsini,6105,28,2014A&A...564A.133J,,3.80,0.02,2014A&A...564A.133J,0.32,0.01,2014A&A...564A.133J,2.697,0,0.00,1,0,1,2,3,NO,HIP 67927,HD_121370,0,HIP 67927,2.1664353,208.67116,18.397717
7.459,HIP 2021,HD_2151,2.82,0.618,0.008,134.07,0.11,HIP2,3.46,Sun-like,G0V,2006AJ....132..161G,-0.065,3.39,0.539,"L-A,L-B,Hab,SR1",24,HIP 2021,1,1,2,1,0,5,-4.996,Henry96,3.4,Glebocki05,1.08,G0V,HIP 2021,0,HD_2151,quiet,5873,45,2014A&A...564A.133J,,3.98,0.02,2014A&A...564A.133J,-0.04,0.01,2014A&A...564A.133J,1.797,0,0.00,1,2,1,4,5,MUST,HIP 2021,HD_2151,0,HIP 2021,1.76094459,6.4378004,-77.25424
