_RAJ2000,_DEJ2000,HIP,Vmag,Plx,B-V,pc,target_blind,target_deep,has_planets,SPOCS,HD Name,Rstar,Rstar_source,Teff,Teff_source,logg,logg_source,__M_H_,__M_H__source,Vsini,Vsini_source,Mstar,Mstar_source,Vmac,Vmac_source,Comments,Other Name,MK,S,S_source,logRHK,logRHK_source
12.095738,5.280615,3765,5.74,134.04,0.89,7.4604597,true,false,false,40,HD 4628,0.74,SPOCS Extended,4937,SPOCS Extended,4.54,SPOCS Extended,-0.22,SPOCS Extended,0.7,SPOCS Extended,0.69,SPOCS Extended,1.7,SPOCS Extended,Double? (unlikely),,K2.5V,0.19,SPOCS Extended,-4.96,SPOCS Extended
12.276214,57.815186,3821,3.46,167.99,0.587,5.952735,true,false,false,41,HD 4614,1.05,SPOCS Extended,5919,SPOCS Extended,4.37,SPOCS Extended,-0.21,SPOCS Extended,0.5,SPOCS Extended,0.94,SPOCS Extended,4.2,SPOCS Extended,"Double (late K companion, status here is unclear)",eta Cas,F9V+M0-V,0.16,SPOCS Extended,-4.96,SPOCS Extended
25.624008,20.268505,7981,5.24,133.91,0.836,7.467702,true,false,false,95,HD 10476,0.81,SPOCS Extended,5190,SPOCS Extended,4.51,SPOCS Extended,-0.03,SPOCS Extended,0.1,SPOCS Extended,0.78,SPOCS Extended,2,SPOCS Extended,Double (have not checked),,K1V,0.19,SPOCS Extended,-4.93,SPOCS Extended
26.017012,-15.93748,8102,3.49,274.17,0.727,3.647372,false,true,false,96,HD 10700,0.82,SPOCS Extended,5333,SPOCS Extended,4.6,SPOCS Extended,-0.44,SPOCS Extended,0.1,SPOCS Extended,0.99,SPOCS Extended,2.2,SPOCS Extended,Have not checked for companions,,G8V,0.17,SPOCS Extended,-4.98,SPOCS Extended
26.936811,63.8525,8362,5.63,100.24,0.804,9.976058,true,false,false,99,HD 10780,0.84,SPOCS Extended,5344,SPOCS Extended,4.54,SPOCS Extended,0.01,SPOCS Extended,0.8,SPOCS Extended,0.89,SPOCS Extended,2.3,SPOCS Extended,Have not checked for companions,,K0V,0.26,SPOCS Extended,-4.71,SPOCS Extended
41.049942,49.228447,12777,4.1,89.03,0.514,11.232169,true,false,false,138,HD 16895,1.31,SPOCS Extended,6196,SPOCS Extended,4.19,SPOCS Extended,0.05,SPOCS Extended,8,SPOCS Extended,0.96,SPOCS Extended,6.2,SPOCS Extended,Have not checked for companions,,F8V,0.14,SPOCS Extended,-5.12,SPOCS Extended
47.26675,49.613277,14632,4.05,94.93,0.595,10.534078,true,false,false,153,HD 19373,1.4,SPOCS Extended,5938,SPOCS Extended,4.18,SPOCS Extended,0.13,SPOCS Extended,3.4,SPOCS Extended,1.07,SPOCS Extended,4.3,SPOCS Extended,Have not checked for companions,,G0V,0.15,SPOCS Extended,-5.04,SPOCS Extended
55.81209,-9.763394,17378,3.52,110.58,0.915,9.043226,true,false,false,180,HD 23249,2.34,SPOCS Extended,5037,SPOCS Extended,3.75,SPOCS Extended,0.15,SPOCS Extended,0.1,SPOCS Extended,1.11,SPOCS Extended,3.4,SPOCS Extended,Have not checked for companions,,K0+IV,0.14,SPOCS Extended,-5.19,SPOCS Extended
63.818,-7.6528707,19849,4.43,198.24,0.82,5.0443907,false,true,false,207,HD 26965,0.83,SPOCS Extended,5092,SPOCS Extended,4.51,SPOCS Extended,-0.2,SPOCS Extended,0.5,SPOCS Extended,0.8,SPOCS Extended,1.9,SPOCS Extended,Have not checked for companions,,K0V,0.17,SPOCS Extended,-5.01,SPOCS Extended
72.460045,6.9612756,22449,3.19,124.6,0.484,8.025682,true,false,false,230,HD 30652,1.34,SPOCS Extended,6398,SPOCS Extended,4.27,SPOCS Extended,0.05,SPOCS Extended,16.4,SPOCS Extended,1.21,SPOCS Extended,8.5,SPOCS Extended,Have not checked for companions,,F6V,0.17,SPOCS Extended,-4.89,SPOCS Extended
79.78531,40.099052,24813,4.69,79.08,0.63,12.645422,true,false,false,256,HD 34411,1.28,SPOCS Extended,5873,SPOCS Extended,4.26,SPOCS Extended,0.11,SPOCS Extended,0.1,SPOCS Extended,1.08,SPOCS Extended,3.9,SPOCS Extended,Have not checked for companions,,G1.5IV-VFe-1,0.15,SPOCS Extended,-5.09,SPOCS Extended
143.9146,35.810135,47080,5.4,89.45,0.77,11.17943,true,false,false,2740,HD 82885,0.97,SPOCS Extended,5499,SPOCS Extended,4.44,SPOCS Extended,0.27,SPOCS Extended,2.8,SPOCS Extended,0.95,SPOCS Extended,2.6,SPOCS Extended,Have not checked for companions,,G8Va,0.24,SPOCS Extended,-4.74,SPOCS Extended
175.26256,34.201637,56997,5.31,104.81,0.723,9.541075,true,false,false,500,HD 101501,0.86,SPOCS Extended,5502,SPOCS Extended,4.52,SPOCS Extended,-0.07,SPOCS Extended,2.2,SPOCS Extended,0.9,SPOCS Extended,2.6,SPOCS Extended,Have not checked for companions,,G8V,0.31,SPOCS Extended,-4.54,SPOCS Extended
176.62947,-40.500355,57443,4.89,108.23,0.664,9.239582,true,false,true,505,HD 102365,0.94,SPOCS Extended,5672,SPOCS Extended,4.51,SPOCS Extended,-0.27,SPOCS Extended,0.1,SPOCS Extended,1.04,SPOCS Extended,3.1,SPOCS Extended,Have not checked for companions,,G2.5III,0.17,SPOCS Extended,-4.92,SPOCS Extended
188.43561,41.35748,61317,4.24,119.46,0.588,8.371003,true,false,false,537,HD 109358,1.06,SPOCS Extended,5884,SPOCS Extended,4.42,SPOCS Extended,-0.18,SPOCS Extended,0.1,SPOCS Extended,1.07,SPOCS Extended,4,SPOCS Extended,Have not checked for companions,,G0V,0.02,SPOCS Extended,-4.93,White 2007
199.60132,-18.311195,64924,4.74,117.3,0.709,8.525149,true,false,true,562,HD 115617,0.97,SPOCS Extended,5562,SPOCS Extended,4.44,SPOCS Extended,-0.03,SPOCS Extended,0.8,SPOCS Extended,0.93,SPOCS Extended,2.8,SPOCS Extended,Have not checked for companions,,G6.5V,0.17,SPOCS Extended,-4.97,SPOCS Extended
223.34903,19.152798,72848,6,86.69,0.841,11.535356,true,false,false,625,HD 131511,0.84,SPOCS Extended,5258,SPOCS Extended,4.47,SPOCS Extended,0.06,SPOCS Extended,4.4,SPOCS Extended,0.77,SPOCS Extended,2.1,SPOCS Extended,Have not checked for companions,,K0.5V,0.44,SPOCS Extended,-4.46,SPOCS Extended
236.61089,7.353073,77257,4.42,85.08,0.604,11.753643,true,false,false,669,HD 141004,1.38,SPOCS Extended,5901,SPOCS Extended,4.22,SPOCS Extended,0.04,SPOCS Extended,2,SPOCS Extended,1.15,SPOCS Extended,4.1,SPOCS Extended,Have not checked for companions,,G0-V,0.16,SPOCS Extended,-4.97,SPOCS Extended
272.4059,38.457775,88972,6.38,90.11,0.876,11.097548,true,false,false,784,HD 166620,0.8,SPOCS Extended,4970,SPOCS Extended,4.51,SPOCS Extended,-0.1,SPOCS Extended,0.1,SPOCS Extended,0.76,SPOCS Extended,1.8,SPOCS Extended,Have not checked for companions,,K2V,0.17,SPOCS Extended,-5.03,SPOCS Extended
