Date__(UT)__HR:MN,R.A._(ICRF),DEC__(ICRF),R.A.__(a-app),DEC_(a-app),APmag,Ang-diam,delta,deldot,S-T-O,Cnst,N.Pole-RA,N.Pole-DC
1600-Jan-27 18:00, 09 14 32.82, +20 45 51.8, 08 51 39.66, +22 21 31.7, -1.339, 13.96618, 0.67056969243988, -0.030528, 2.9363, Cnc, 318.11526, 53.13365
1602-Mar-05 18:00, 11 18 33.30, +08 55 29.7, 10 57 52.72, +11 04 49.3, -1.28, 14.02065, 0.66796471, -0.0084044, 3.2464, Leo, 318.11278, 53.1324
1604-Apr-14 12:00, 13 23 35.51, -06 34 08.2, 13 03 05.85, -04 28 45.1, -1.618, 15.61261, 0.599855, -0.0244184, 5.4616, Vir, 318.11045, 53.13097
1606-Jun-03 00:00, 16 17 27.39, -23 35 35.2, 15 54 03.05, -22 32 36.4, -2.101, 19.60006, 0.47782004, -0.0289175, 7.5304, Sco, 318.10847, 53.12955
1608-Aug-05 06:00, 21 23 28.44, -22 31 34.4, 21 00 55.76, -24 08 44.8, -2.924, 24.93421, 0.3756004, 0.0298947, 5.2285, Cap, 318.10606, 53.12844
1610-Oct-11 06:00, 02 08 59.01, +10 16 34.8, 01 48 21.27, +08 23 33.6, -2.493, 21.39646, 0.43770319, 0.0354231, 7.4868, Cet, 318.10322, 53.12688
1612-Dec-01 18:00, 05 36 23.20, +25 39 53.3, 05 12 30.80, +25 19 59.2, -1.732, 16.5285, 0.56661527, -0.0119687, 6.0499, Tau, 318.10124, 53.12543
1615-Jan-12 18:00, 08 20 33.47, +23 57 47.3, 07 57 33.77, +25 06 31.9, -1.431, 14.33241, 0.65343494, -0.0342519, 3.5797, Cnc, 318.09907, 53.1243
1617-Feb-19 00:00, 10 31 35.34, +14 03 35.4, 10 11 04.06, +15 59 45.0, -1.291, 13.83666, 0.67684669, 0.0203612, 2.7939, Leo, 318.09663, 53.12312
1619-Mar-30 00:00, 12 32 32.85, -00 10 04.8, 12 13 06.28, +01 56 18.2, -1.479, 14.77074, 0.63404416, -0.0130064, 4.5011, Vir, 318.0942, 53.12175
1621-May-13 06:00, 14 58 20.18, -17 10 46.4, 14 37 19.90, -15 36 48.0, -1.848, 17.67764, 0.52978227, -0.0226764, 6.9698, Lib, 318.09209, 53.12028
1623-Jul-10 12:00, 19 09 13.33, -28 09 16.8, 18 45 35.15, -28 40 16.9, -2.708, 23.27594, 0.40235962, 0.0004061, 6.7662, Sgr, 318.09004, 53.11907
1625-Sep-16 06:00, 00 31 03.33, -02 11 35.0, 00 11 57.17, -04 16 01.5, -2.747, 23.75831, 0.39419047, 0.0292412, 6.5729, Cet, 318.08708, 53.11776
1627-Nov-14 00:00, 04 20 40.65, +22 18 52.2, 03 58 41.24, +21 21 13.1, -1.998, 18.0793, 0.51801231, 0.0221193, 6.9455, Tau, 318.08488, 53.11614
1629-Dec-28 06:00, 07 21 10.39, +25 59 05.2, 06 58 20.91, +26 36 09.2, -1.484, 14.94599, 0.62660967, -0.0060422, 4.4136, Gem, 318.08284, 53.11495
