_RAJ2000,_DEJ2000,RAhms,DEdms,pc,HIP_2,HD_2,mag,B-V,eB-V,plx,eplx,Ref_plx,Mv,category,MK,Ref_SpT,BCv_2,Mbol,log(L/Lsun),Habex,HIP_2a,L-A,L-B,Hab,SR1,SR3,lists_2,logR'HK,RefR'HK,kms,RefVsini,Msun,SpT,HIP_2b,Teff,HD_2a,notes,K,eTeff,ref_Teff,BCv_2a,cms,elog(g),ref_logg,Sun,e[Fe/H],ref_FeH,Rsun,Solar Twin?,N(<6500K),N(vsini),N(F7-K9),lists_2a,Sample,Name,solRad
291.2425,11.944415,19 24 57.77,+11 56 34.3,14.959,HIP_95447_,HD_182572_,5.17,0.761,0.018,66.848,0.0913,GaiaDR2,4.3,Sun-like,G7IV_Hdel1,1989ApJS...71..245K,-0.125,4.17,0.228,99,HIP_95447_,1,1,1,0,0,3,-5.099,Baliunas96,1.9,Glebocki05,0.95,G7IV_Hdel1,HIP_95447_,1,HD_182572_,quiet,5530,21,2015A&A...574A..50J,,4.05,0.04,2015A&A...574A..50J,0.34,0.02,2015A&A...574A..50J,1.416,0,1,2,1,3,MUST,HIP_95447,2.44381106751012
9.840858,21.250473,00 39 22.09,+21 15 04.9,11.137,HIP_3093_,HD_3651_,5.88,0.85,0.009,89.7891,0.0581,GaiaDR2,5.65,Sun-like,K0.5V,1989ApJS...71..245K,-0.21,5.44,-0.278,55,HIP_3093_,1,1,1,0,0,3,-4.991,Baliunas96,1.8,Glebocki05,0.86,K0.5V,HIP_3093_,1,HD_3651_,quiet,5303,63,2013ApJ...764...78R,,4.56,0.03,2013ApJ...764...78R,0.18,0.07,2013ApJ...764...78R,0.86,0,1,2,1,3,MUST,HIP_3093,0.755209817985267
321.61087,-65.366196,21 26 26.49,-65 22 05.3,9.262,HIP_105858_,HD_203608_,4.21,0.494,0.02,107.97,0.19,HIP2,4.38,Sun-like,F9V_Fe-1.4_CH-0.7,2006AJ....132..161G,-0.05,4.33,0.165,40,HIP_105858_,1,1,2,0,0,4,-4.491,Gray06,3.4,Glebocki05,1.14,F9V_Fe-1.4_CH-0.7,HIP_105858_,1,HD_203608_,active,6150,55,2013ApJ...764...78R,,4.35,0.03,2013ApJ...764...78R,-0.66,0.05,2013ApJ...764...78R,1.066,0,1,2,1,4,MUST,HIP_105858,1.22480690843311
304.38052,66.85369,20 17 30.63,+66 51 10.7,17.465,HIP_100017_,HD_193664_,5.91,0.602,0.004,57.2564,0.0371,GaiaDR2,4.7,Sun-like,G0V,2003AJ....126.2048G,-0.065,4.63,0.042,121,HIP_100017_,1,1,1,0,0,3,-4.927,Gray03,2.7,Glebocki05,1.08,G0V,HIP_100017_,1,HD_193664_,quiet,5932,15,2005PASJ...57...27T,,4.54,0.03,2005PASJ...57...27T,-0.07,0.02,2005PASJ...57...27T,0.994,0,1,2,1,3,MUST,HIP_100017,0.790801760180697
49.98188,-43.069782,03 19 53.22,-43 04 17.6,6.043,HIP_15510_,HD_20794_,4.26,0.711,0.005,165.47,0.19,HIP2,5.35,Sun-like,G6V,1989ApJS...71..245K,-0.115,5.24,-0.199,19,HIP_15510_,1,1,3,1,0,6,-4.998,Henry96,0.9,Glebocki05,0.97,G6V,HIP_15510_,0,HD_20794_,quiet,5398,16,2013A&A...555A.150T,,4.41,0.02,2013A&A...555A.150T,-0.41,0.01,2013A&A...555A.150T,0.909,0,1,2,1,6,MUST,HIP_15510,1.06676222197191
298.57394,-23.94107,19 54 17.82,-23 56 24.3,14.107,HIP_97944_,HD_188088_,6.22,1.017,0.008,70.8873,0.0399,GaiaDR2,5.47,Sun-like,K2IV(k),2006AJ....132..161G,-0.26,5.21,-0.189,_,HIP_97944_,1,1,0,0,0,2,-4.526,BoroSaikia18,1.8,Glebocki05,0.9,K2IV(k),HIP_97944_,1,HD_188088_,active,4600,86,2004A&A...420..183A,,4.56,0.03,2004A&A...420..183A,0.25,0.06,2016ApJ...826..171G,1.266,0,1,2,1,2,MUST,HIP_97944,0.755209817985267
198.01328,-37.80302,13 12 03.47,-37 48 11.3,20.295,HIP_64408_,HD_114613_,4.85,0.693,0.017,49.2738,0.2195,GaiaDR2,3.31,Sun-like,G4IV,2006AJ....132..161G,-0.1,3.21,0.611,145,HIP_64408_,1,0,1,0,1,3,-5.068,Isaacson10,2.7,Glebocki05,0.99,G4IV,HIP_64408_,1,HD_114613_,quiet,5670,26,2015A&A...574A..50J,,3.9,0.04,2015A&A...574A..50J,0.16,0.02,2015A&A...574A..50J,2.093,0,1,2,1,3,MUST,HIP_64408,3.45197488482265
311.3224,61.838783,20 45 17.27,+61 50 12.5,14.265,HIP_102422_,HD_198149_,3.41,0.912,0.002,70.1,0.11,HIP2,2.64,Sun-like,K0IV,1989ApJS...71..245K,-0.19,2.45,0.917,89,HIP_102422_,1,0,1,0,0,2,OK?,_,1.7,Glebocki05,1.23,K0IV,HIP_102422_,0,HD_198149_,subgiant,5002,28,2015A&A...580A..24D,,3.43,0.15,2015A&A...580A..24D,-0.09,0.05,2015A&A...580A..24D,3.825,0,1,2,1,2,MUST,HIP_102422,10.1875001303092
264.8205,3.5552387,17 39 17.02,+03 33 19.7,11.0,HIP_86400_,HD_160346_,6.53,0.959,0.006,90.91,0.67,HIP2,6.32,Sun-like,K3-V,1989ApJS...71..245K,-0.37,5.95,-0.485,47,HIP_86400_,1,1,1,0,0,3,-4.795,Baliunas96,1.5,Glebocki05,0.75,K3-V,HIP_86400_,0,HD_160346_,slightly active,4808,49,2013ApJ...764...78R,,4.56,0.01,2013ApJ...764...78R,-0.08,0.08,2013ApJ...764...78R,0.824,0,1,2,1,3,MUST,HIP_86400,0.755209817985267
261.2504,67.3067,17 25 00.90,+67 18 24.1,12.793,HIP_85235_,HD_158633_,6.44,0.759,0.003,78.1653,0.0266,GaiaDR2,5.91,Sun-like,K0V,1967AJ.....72.1334C,-0.19,5.72,-0.39,74,HIP_85235_,1,1,1,0,0,3,-4.959,Isaacson10,1.3,Glebocki05,0.87,K0V,HIP_85235_,1,HD_158633_,quiet,5327,35,2013ApJ...764...78R,,4.56,0.02,2013ApJ...764...78R,-0.42,0.06,2013ApJ...764...78R,0.749,0,1,2,1,3,MUST,HIP_85235,0.755209817985267
