_RAJ2000,_DEJ2000,RAhms,DEdms,pc,HIP_2,HD_2,mag,B-V,eB-V,plx,eplx,Ref_plx,Mv,category,MK,Ref_SpT,BCv_2,Mbol,log(L/Lsun),Habex,HIP_2a,L-A,L-B,Hab,SR1,SR3,lists_2,logR'HK,RefR'HK,kms,RefVsini,Msun,SpT,HIP_2b,Teff,HD_2a,notes,K,eTeff,ref_Teff,BCv_2a,cms,elog(g),ref_logg,Sun,e[Fe/H],ref_FeH,Rsun,Solar Twin?,N(<6500K),N(vsini),N(F7-K9),lists_2a,Sample,Name,solRad
291.2425,11.944415,19 24 57.77,+11 56 34.3,14.959,HIP_95447_,HD_182572_,5.17,0.761,0.018,66.848,0.0913,GaiaDR2,4.3,Sun-like,G7IV_Hdel1,1989ApJS...71..245K,-0.125,4.17,0.228,99,HIP_95447_,1,1,1,0,0,3,-5.099,Baliunas96,1.9,Glebocki05,0.95,G7IV_Hdel1,HIP_95447_,1,HD_182572_,quiet,5530,21,2015A&A...574A..50J,,4.05,0.04,2015A&A...574A..50J,0.34,0.02,2015A&A...574A..50J,1.416,0,1,2,1,3,MUST,HIP_95447,2.44381106751012
9.840858,21.250473,00 39 22.09,+21 15 04.9,11.137,HIP_3093_,HD_3651_,5.88,0.85,0.009,89.7891,0.0581,GaiaDR2,5.65,Sun-like,K0.5V,1989ApJS...71..245K,-0.21,5.44,-0.278,55,HIP_3093_,1,1,1,0,0,3,-4.991,Baliunas96,1.8,Glebocki05,0.86,K0.5V,HIP_3093_,1,HD_3651_,quiet,5303,63,2013ApJ...764...78R,,4.56,0.03,2013ApJ...764...78R,0.18,0.07,2013ApJ...764...78R,0.86,0,1,2,1,3,MUST,HIP_3093,0.755209817985267
311.3224,61.838783,20 45 17.27,+61 50 12.5,14.265,HIP_102422_,HD_198149_,3.41,0.912,0.002,70.1,0.11,HIP2,2.64,Sun-like,K0IV,1989ApJS...71..245K,-0.19,2.45,0.917,89,HIP_102422_,1,0,1,0,0,2,OK?,_,1.7,Glebocki05,1.23,K0IV,HIP_102422_,0,HD_198149_,subgiant,5002,28,2015A&A...580A..24D,,3.43,0.15,2015A&A...580A..24D,-0.09,0.05,2015A&A...580A..24D,3.825,0,1,2,1,2,MUST,HIP_102422,10.1875001303092
264.8205,3.5552387,17 39 17.02,+03 33 19.7,11.0,HIP_86400_,HD_160346_,6.53,0.959,0.006,90.91,0.67,HIP2,6.32,Sun-like,K3-V,1989ApJS...71..245K,-0.37,5.95,-0.485,47,HIP_86400_,1,1,1,0,0,3,-4.795,Baliunas96,1.5,Glebocki05,0.75,K3-V,HIP_86400_,0,HD_160346_,slightly active,4808,49,2013ApJ...764...78R,,4.56,0.01,2013ApJ...764...78R,-0.08,0.08,2013ApJ...764...78R,0.824,0,1,2,1,3,MUST,HIP_86400,0.755209817985267
261.2504,67.3067,17 25 00.90,+67 18 24.1,12.793,HIP_85235_,HD_158633_,6.44,0.759,0.003,78.1653,0.0266,GaiaDR2,5.91,Sun-like,K0V,1967AJ.....72.1334C,-0.19,5.72,-0.39,74,HIP_85235_,1,1,1,0,0,3,-4.959,Isaacson10,1.3,Glebocki05,0.87,K0V,HIP_85235_,1,HD_158633_,quiet,5327,35,2013ApJ...764...78R,,4.56,0.02,2013ApJ...764...78R,-0.42,0.06,2013ApJ...764...78R,0.749,0,1,2,1,3,MUST,HIP_85235,0.755209817985267
271.36368,2.5000994,18 05 27.21,+02 30 08.8,5.123,HIP_88601_,HD_165341_,4.03,0.86,0.01,195.2166,0.1012,GaiaDR2,5.48,Sun-like,K0-V,1989ApJS...71..245K,-0.19,5.29,-0.221,_,HIP_88601_,1,1,0,0,0,2,-4.548,Baliunas96,3.7,Glebocki05,0.88,K0-V,HIP_88601_,0,HD_165341_,active,5394,79,2013ApJ...764...78R,,4.56,0.03,2013ApJ...764...78R,0.07,0.06,2013ApJ...764...78R,0.888,0,1,2,1,2,MUST,HIP_88601,0.755209817985267
133.14922,28.330818,08 52 36.13,+28 19 53.0,12.59,HIP_43587_,HD_75732_,5.96,0.869,0.012,79.4274,0.0777,GaiaDR2,5.46,Sun-like,K0IV-V,2003AJ....126.2048G,-0.19,5.27,-0.212,72,HIP_43587_,1,1,1,0,1,4,-4.991,Isaacson10,2.2,Glebocki05,0.95,K0IV-V,HIP_43587_,1,HD_75732_,quiet,5270,39,2012A&A...547A..13T,,4.31,0.11,2012A&A...547A..13T,0.31,0.01,2012A&A...547A..13T,0.94,0,1,2,1,4,MUST,HIP_43587,1.34297406958244
238.16893,42.45152,15 52 40.19,+42 27 00.0,15.832,HIP_77760_,HD_142373_,4.6,0.563,0.014,63.1627,0.149,GaiaDR2,3.6,Sun-like,G0V_Fe-0.8_CH-0.5,2003AJ....126.2048G,-0.065,3.54,0.481,109,HIP_77760_,1,1,1,0,0,3,-5.042,Baliunas96,3.4,Glebocki05,1.08,G0V_Fe-0.8_CH-0.5,HIP_77760_,1,HD_142373_,quiet,5776,20,2005PASJ...57...27T,,3.83,0.05,2005PASJ...57...27T,-0.51,0.02,2005PASJ...57...27T,1.738,0,1,2,1,3,MUST,HIP_77760,4.0557168518908
222.84741,19.10046,14 51 23.28,+19 06 02.3,6.733,HIP_72659_,HD_131156_,4.54,0.72,0.015,148.5195,0.2436,GaiaDR2,5.4,Sun-like,G7V,2003AJ....126.2048G,-0.125,5.27,-0.214,_,HIP_72659_,1,1,0,0,0,2,-4.363,Baliunas96,3.5,Glebocki05,0.96,G7V,HIP_72659_,0,HD_131156_,active,5527,10,2005PASJ...57...27T,,4.6,0.02,2005PASJ...57...27T,-0.13,0.02,2005PASJ...57...27T,0.853,0,1,2,1,2,MUST,HIP_72659,0.688759539990568
191.24753,39.278915,12 44 59.68,+39 16 42.9,17.565,HIP_62207_,HD_110897_,5.95,0.557,0.013,56.9309,0.073,GaiaDR2,4.73,Sun-like,F9V_Fe-0.3,2003AJ....126.2048G,-0.05,4.68,0.025,_,HIP_62207_,1,1,0,0,0,2,-4.972,Isaacson10,1.8,Glebocki05,1.14,F9V_Fe-0.3,HIP_62207_,1,HD_110897_,quiet,5842,22,2005PASJ...57...27T,,4.33,0.05,2005PASJ...57...27T,-0.5,0.02,2005PASJ...57...27T,1.005,0,1,2,1,2,MUST,HIP_62207,1.28253027967027
