_RAJ2000,_DEJ2000,RAhms,DEdms,pc,HIP_2,HD_2,mag,B-V,eB-V,plx,eplx,Ref_plx,Mv,category,MK,Ref_SpT,BCv_2,Mbol,log(L/Lsun),Habex,HIP_2a,L-A,L-B,Hab,SR1,SR3,lists_2,logR'HK,RefR'HK,kms,RefVsini,Msun,SpT,HIP_2b,Teff,HD_2a,notes,K,eTeff,ref_Teff,BCv_2a,cms,elog(g),ref_logg,Sun,e[Fe/H],ref_FeH,Rsun,Solar Twin?,N(<6500K),N(vsini),N(F7-K9),lists_2a,Sample,Name,solRad
321.61087,-65.366196,21 26 26.49,-65 22 05.3,9.262,HIP_105858_,HD_203608_,4.21,0.494,0.02,107.97,0.19,HIP2,4.38,Sun-like,F9V_Fe-1.4_CH-0.7,2006AJ....132..161G,-0.05,4.33,0.165,40,HIP_105858_,1,1,2,0,0,4,-4.491,Gray06,3.4,Glebocki05,1.14,F9V_Fe-1.4_CH-0.7,HIP_105858_,1,HD_203608_,active,6150,55,2013ApJ...764...78R,,4.35,0.03,2013ApJ...764...78R,-0.66,0.05,2013ApJ...764...78R,1.066,0,1,2,1,4,MUST,HIP_105858,1.22480690843311
49.98188,-43.069782,03 19 53.22,-43 04 17.6,6.043,HIP_15510_,HD_20794_,4.26,0.711,0.005,165.47,0.19,HIP2,5.35,Sun-like,G6V,1989ApJS...71..245K,-0.115,5.24,-0.199,19,HIP_15510_,1,1,3,1,0,6,-4.998,Henry96,0.9,Glebocki05,0.97,G6V,HIP_15510_,0,HD_20794_,quiet,5398,16,2013A&A...555A.150T,,4.41,0.02,2013A&A...555A.150T,-0.41,0.01,2013A&A...555A.150T,0.909,0,1,2,1,6,MUST,HIP_15510,1.06676222197191
298.57394,-23.94107,19 54 17.82,-23 56 24.3,14.107,HIP_97944_,HD_188088_,6.22,1.017,0.008,70.8873,0.0399,GaiaDR2,5.47,Sun-like,K2IV(k),2006AJ....132..161G,-0.26,5.21,-0.189,_,HIP_97944_,1,1,0,0,0,2,-4.526,BoroSaikia18,1.8,Glebocki05,0.9,K2IV(k),HIP_97944_,1,HD_188088_,active,4600,86,2004A&A...420..183A,,4.56,0.03,2004A&A...420..183A,0.25,0.06,2016ApJ...826..171G,1.266,0,1,2,1,2,MUST,HIP_97944,0.755209817985267
198.01328,-37.80302,13 12 03.47,-37 48 11.3,20.295,HIP_64408_,HD_114613_,4.85,0.693,0.017,49.2738,0.2195,GaiaDR2,3.31,Sun-like,G4IV,2006AJ....132..161G,-0.1,3.21,0.611,145,HIP_64408_,1,0,1,0,1,3,-5.068,Isaacson10,2.7,Glebocki05,0.99,G4IV,HIP_64408_,1,HD_114613_,quiet,5670,26,2015A&A...574A..50J,,3.9,0.04,2015A&A...574A..50J,0.16,0.02,2015A&A...574A..50J,2.093,0,1,2,1,3,MUST,HIP_64408,3.45197488482265
264.8205,3.5552387,17 39 17.02,+03 33 19.7,11.0,HIP_86400_,HD_160346_,6.53,0.959,0.006,90.91,0.67,HIP2,6.32,Sun-like,K3-V,1989ApJS...71..245K,-0.37,5.95,-0.485,47,HIP_86400_,1,1,1,0,0,3,-4.795,Baliunas96,1.5,Glebocki05,0.75,K3-V,HIP_86400_,0,HD_160346_,slightly active,4808,49,2013ApJ...764...78R,,4.56,0.01,2013ApJ...764...78R,-0.08,0.08,2013ApJ...764...78R,0.824,0,1,2,1,3,MUST,HIP_86400,0.755209817985267
344.10022,-31.565567,22 56 23.83,-31 33 54.6,7.608,HIP_113283_,HD_216803_,6.48,1.094,0.006,131.438,0.0856,GaiaDR2,7.07,Sun-like,K4Ve,1989ApJS...71..245K,-0.51,6.56,-0.729,26,HIP_113283_,1,1,2,0,0,4,-4.349,BoroSaikia18,2.6,Glebocki05,0.72,K4Ve,HIP_113283_,1,HD_216803_,active,4555,87,2004A&A...415.1153S,,4.53,0.26,2004A&A...415.1153S,-0.01,0.09,2004A&A...415.1153S,0.693,0,1,2,1,4,MUST,HIP_113283,0.809221899476192
271.36368,2.5000994,18 05 27.21,+02 30 08.8,5.123,HIP_88601_,HD_165341_,4.03,0.86,0.01,195.2166,0.1012,GaiaDR2,5.48,Sun-like,K0-V,1989ApJS...71..245K,-0.19,5.29,-0.221,_,HIP_88601_,1,1,0,0,0,2,-4.548,Baliunas96,3.7,Glebocki05,0.88,K0-V,HIP_88601_,0,HD_165341_,active,5394,79,2013ApJ...764...78R,,4.56,0.03,2013ApJ...764...78R,0.07,0.06,2013ApJ...764...78R,0.888,0,1,2,1,2,MUST,HIP_88601,0.755209817985267
92.56031,-74.753044,06 10 14.20,-74 45 09.1,10.215,HIP_29271_,HD_43834_,5.08,0.714,0.015,97.8983,0.0719,GaiaDR2,5.03,Sun-like,G7V,2006AJ....132..161G,-0.125,4.91,-0.068,48,HIP_29271_,1,1,2,0,0,4,-4.94,Henry96,2.3,Glebocki05,0.96,G7V,HIP_29271_,1,HD_43834_,quiet,5569,40,2013ApJ...764...78R,,4.43,0.03,2013ApJ...764...78R,0.11,0.05,2013ApJ...764...78R,0.994,0,1,2,1,4,MUST,HIP_29271,1.01875001303093
246.00537,-39.19298,16 24 01.24,-39 11 34.8,12.908,HIP_80337_,HD_147513_,5.37,0.625,0.008,77.4716,0.1391,GaiaDR2,4.82,Sun-like,G1V_CH-0.4,2006AJ....132..161G,-0.075,4.74,0.0,76,HIP_80337_,1,1,1,0,0,3,-4.45,Saffe05,2.2,Glebocki05,1.07,G1V_CH-0.4,HIP_80337_,1,HD_147513_,active,5858,18,2008A&A...487..373S,,4.5,0.03,2008A&A...487..373S,0.03,0.01,2008A&A...487..373S,0.971,1,1,2,1,3,MUST,HIP_80337,0.867096887509786
53.232685,-9.458262,03 32 56.42,-09 27 29.9,3.216,HIP_16537_,HD_22049_,3.72,0.881,0.007,310.94,0.16,HIP2,6.18,Sun-like,K2V,1989ApJS...71..245K,-0.26,5.92,-0.473,2,HIP_16537_,1,1,2,1,1,6,-4.455,Baliunas96,1.9,Glebocki05,0.78,K2V,HIP_16537_,0,HD_22049_,active,5050,42,2014A&A...564A.133J,,4.6,0.03,2014A&A...564A.133J,-0.09,0.01,2014A&A...564A.133J,0.758,0,1,2,1,6,MUST,HIP_16537,0.688759539990568
