pc,HIP_1,HD_1,mag,B-V,eB-V,plx,eplx,Ref_plx,Mv,category,MK,Ref_SpT,BCv_1,Mbol,log(L/Lsun),Habex,HIP_1a,L-A,L-B,Hab,SR1,SR3,lists_1,logR'HK,RefR'HK,kms,RefVsini,Msun,SpT,HIP_1b,Teff,HD_1a,notes,K,eTeff,ref_Teff,BCv_1a,cms,elog(g),ref_logg,Sun,e[Fe/H],ref_FeH,Rsun,Solar Twin?,N(<6500K),N(vsini),N(F7-K9),lists_1a,Sample,Name,solRad,_RAJ2000,_DEJ2000,RAhms,DEdms
11.127,HIP_12777_,HD_16895_,4.1,0.514,0.002,89.87,0.22,HIP2,3.87,Sun-like,F7V,2001AJ....121.2148G,-0.035,3.83,0.363,56,HIP_12777_,1,1,1,0,0,3,-4.97,Wright04,8.6,Glebocki05,1.21,F7V,HIP_12777_,0,HD_16895_,hot,6329,37,2010MNRAS.403.1368G,,4.32,0.02,2010MNRAS.403.1368G,0.06,0.03,2010MNRAS.403.1368G,1.263,0,1,1,1,3,WANT,HIP_12777,1.31240424757446,41.049942,49.228447,02 44 11.69,+49 13 43.2
13.714,HIP_116771_,HD_222368_,4.13,0.507,0.006,72.92,0.15,HIP2,3.44,Sun-like,F7V,2001AJ....121.2148G,-0.035,3.41,0.532,81,HIP_116771_,1,1,1,0,0,3,-4.924,Isaacson10,6.3,Glebocki05,1.21,F7V,HIP_116771_,1,HD_222368_,hot,6211,52,2013ApJ...764...78R,,4.11,0.02,2013ApJ...764...78R,-0.12,0.04,2013ApJ...764...78R,1.594,0,1,1,1,3,WANT,HIP_116771,2.12847046053301,354.98767,5.6262918,23 39 56.82,+05 37 38.5
20.607,HIP_45038_,HD_78154_,4.8,0.489,0.007,48.5263,0.183,GaiaDR2,3.23,Sun-like,F7V,1981ApJS...45..437A,-0.035,3.19,0.618,_,HIP_45038_,1,0,0,0,0,1,-4.901,BoroSaikia18,5.8,Glebocki05,1.21,F7V,HIP_45038_,0,HD_78154_,hot,6276,80,2008MNRAS.384..173F,,4.0,0.1,2008MNRAS.384..173F,-0.03,0.07,2008MNRAS.384..173F,1.723,0,1,1,1,1,WANT,HIP_45038,2.74200111657373,137.5981,67.13402,09 10 23.53,+67 08 03.3
25.985,HIP_100511_,HD_194012_,6.16,0.498,0.014,38.4843,0.0323,GaiaDR2,4.09,Sun-like,F7V,2003AJ....126.2048G,-0.035,4.05,0.275,_,HIP_100511_,1,0,0,0,0,1,-4.72,Baliunas96,6.8,Glebocki05,1.21,F7V,HIP_100511_,1,HD_194012_,active,6301,80,2011A&A...530A.138C,,4.36,0.09,1999A&A...352..555A,-0.12,0.05,2016ApJ...826..171G,1.152,0,1,1,1,1,WANT,HIP_100511,1.19692689940465,305.7182,14.551098,20 22 52.32,+14 33 04.0
26.205,HIP_522_,HD_142_,5.7,0.519,0.011,38.1605,0.0648,GaiaDR2,3.61,Sun-like,F7V,2006AJ....132..161G,-0.035,3.57,0.467,_,HIP_522_,0,0,0,0,1,1,-5.02,Saffe05,9.9,Glebocki05,1.21,F7V,HIP_522_,0,HD_142_,hot,6281,25,2014A&A...561A...7R,,4.25,0.03,2014A&A...561A...7R,0.11,0.01,2014A&A...561A...7R,1.445,0,1,1,1,1,WANT,HIP_522,1.54194054156749,1.5798976,-49.07519,00 06 18.66,-49 04 30.3
26.28,HIP_42172_,HD_72945_,5.91,0.53,0.007,38.0516,0.1307,GaiaDR2,3.81,Sun-like,F8IV-V,2003AJ....126.2048G,-0.04,3.77,0.387,_,HIP_42172_,1,0,0,0,0,1,-4.981,Gray03,5.4,Glebocki05,1.18,F8IV-V,HIP_42172_,1,HD_72945_,quiet,5600,50,2003AJ....126.2015H,,4.4,0.05,2003AJ....126.2015H,0.15,0.05,2003AJ....126.2015H,1.659,0,1,1,1,1,WANT,HIP_42172,1.0916103061737,128.96239,6.6202197,08 35 51.05,+06 37 13.9
27.731,HIP_56280_,HD_100286_,4.93,0.54,0.004,36.0601,0.1266,GaiaDR2,2.72,Sun-like,F8IV-V,2006AJ....132..161G,-0.04,2.68,0.826,_,HIP_56280_,1,0,0,0,0,1,-4.944,Gray06,8,Glebocki05,1.18,F8IV-V,HIP_56280_,0,HD_100286_,hot,6308,80,2011A&A...530A.138C,,4.17,NA,2017AJ....153...21L,0.03,NA,2017AJ....153...21L,2.167,0,1,1,1,1,WANT,HIP_56280,1.85382027342131,173.06834,-29.261023,11 32 16.42,-29 15 40.9
12.914,HIP_51459_,HD_90839_,4.82,0.541,0.008,77.4346,0.168,GaiaDR2,4.26,Sun-like,F8V,2003AJ....126.2048G,-0.04,4.22,0.206,77,HIP_51459_,1,1,1,0,0,3,-4.775,BoroSaikia18,8.6,Glebocki05,1.18,F8V,HIP_51459_,1,HD_90839_,,6186,63,2013ApJ...764...78R,,4.43,0.03,2013ApJ...764...78R,-0.08,0.04,2013ApJ...764...78R,1.104,0,1,1,1,3,WANT,HIP_51459,1.01875001303093,157.65659,55.980537,10 30 37.76,+55 58 50.2
13.492,HIP_7513_,HD_9826_,4.1,0.536,0.007,74.12,0.19,HIP2,3.45,Sun-like,F8V,2001AJ....121.2148G,-0.04,3.41,0.532,80,HIP_7513_,1,1,1,0,1,4,-4.98,Isaacson10,9,Glebocki05,1.18,F8V,HIP_7513_,0,HD_9826_,hot,6239,37,2010MNRAS.403.1368G,,4.19,0.03,2010MNRAS.403.1368G,0.15,0.03,2010MNRAS.403.1368G,1.579,0,1,1,1,4,WANT,HIP_7513,1.77038461693358,24.199345,41.40546,01 36 47.98,+41 24 23.0
15.258,HIP_82860_,HD_153597_,4.88,0.481,0.007,65.54,0.33,HIP2,3.96,Sun-like,F8V,2009ApJS..180..117A,-0.04,3.92,0.327,101,HIP_82860_,1,1,1,0,0,3,-4.941,BoroSaikia18,8.5,Glebocki05,1.18,F8V,HIP_82860_,0,HD_153597_,hot,6331,35,2005PASJ...57...27T,,4.42,0.07,2005PASJ...57...27T,-0.08,0.03,2005PASJ...57...27T,1.211,0,1,1,1,3,WANT,HIP_82860,1.04247974922047,254.00703,65.134796,16 56 01.36,+65 08 04.8
